display_first_last,classification,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,ast/tov,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,height_wo_shoes,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct
Alex Len,SOLID,38,65.8,112.7,22.6,53.5,56.97,13.2,19.3,7.8,15.6,105,153,0.686,172,316,0.544,1,8,0.125,8.0,0.5,47.2,2,3.19146,118.829,4.0,0.61669517,91.861,88.507,3.41733,214.642,6.95255,2.39556,4.557,6.1296,26.4211,3.33837,2.79123,2.8684,4.9737,7.8421,0.9737,0.2105,2.0526,11.8947,83.25,84.0,250.0,87.5,109.75,6.4
Andre Roberson,SOLID,31,77.3,99.8,20.4,51.5,52.4,10.6,27.1,9.4,21.2,54,98,0.551,113,217,0.521,19,58,0.328,4.4,3.9,35.6,3,2.43566,105.246,3.0,0.5946127,83.7071,79.4846,5.29756,283.374,8.97574,1.61601,7.35973,7.55752,33.4194,2.92706,4.63046,2.9677,8.2258,11.1935,1.4194,2.1613,1.3226,10.871,78.25,79.0,205.8,83.0,104.5,7.05
Nerlens Noel,SOLID,24,57.5,109.0,18.2,59.0,58.26,10.4,22.3,9.5,19.1,55,104,0.529,98,166,0.59,0,0,0.0,13.2,3.9,62.7,1,2.77634,109.136,3.2,0.84442666,81.3956,78.8597,5.17641,227.307,12.8608,2.47414,10.3866,11.0895,31.875,3.95391,7.13561,2.7083,6.75,9.4583,1.5833,2.0833,4.4167,10.4583,82.0,83.75,206.4,87.75,110.0,4.15
Kelly Olynyk,SOLID,31,60.3,123.5,30.4,64.4,67.83,11.8,20.1,15.1,18.4,131,168,0.78,201,304,0.661,9,29,0.31,5.1,1.6,50.5,3,5.57364,144.627,3.5,0.6933124,89.4414,86.1418,3.64964,173.399,11.7494,7.28581,4.46361,13.6199,26.4516,10.4448,3.17511,2.4194,4.8387,7.2581,1.6774,0.6774,1.129,18.0645,82.75,84.0,234.0,81.75,108.0,6.65
Victor Oladipo,STAR,36,70.4,122.7,22.6,64.8,67.12,11.7,14.0,15.2,21.1,97,130,0.746,152,236,0.644,30,68,0.441,2.8,4.6,42.8,3,4.92927,134.339,3.5,0.90244967,85.8364,81.39,4.35053,246.196,15.2772,8.79828,6.47896,14.3486,28.3611,8.76043,5.58813,2.5833,3.75,6.3333,2.0556,2.1667,0.7778,13.6389,75.25,76.25,213.2,81.25,100.5,6.55
Vander Blue,BUST,34,79.1,104.3,23.8,50.4,54.17,2.3,9.3,12.8,18.6,96,127,0.756,143,271,0.528,40,132,0.303,0.0,2.0,31.5,3,3.82267,117.747,2.1,0.78480745,101.018,96.5092,3.32015,169.089,3.47491,3.2605,0.214406,4.01277,33.0294,3.44985,0.562916,0.5882,2.6471,3.2353,1.8235,1.0294,0.0,14.7647,75.5,77.25,197.4,78.0,100.5,4.6
Archie Goodwin,BUST,33,78.8,96.9,27.2,46.4,50.91,5.6,10.4,16.8,21.0,135,212,0.637,140,293,0.478,17,64,0.266,1.4,2.1,59.4,1,2.79571,109.466,3.7,0.8712997,97.7351,94.5801,3.42587,179.703,0.778603,0.781192,-0.00258988,0.958423,31.7576,0.684581,0.273842,1.4545,3.1515,4.6061,2.6667,1.0909,0.4545,14.1212,75.75,77.25,189.0,81.5,102.0,4.55
Lorenzo Brown,SOLID,33,80.4,103.5,24.7,44.9,50.94,2.4,11.4,36.7,23.6,108,140,0.771,120,258,0.465,20,76,0.263,1.6,3.4,41.9,3,3.53875,113.825,2.3,2.09651187,100.419,96.2932,3.50198,219.878,4.99859,3.359,1.63958,4.68851,34.2121,3.14485,1.54366,0.6667,3.6667,4.3333,7.2424,1.9697,0.5758,12.3636,76.0,77.25,189.2,79.0,100.0,3.95
Ben McLemore,SOLID,37,79.1,118.7,22.0,58.6,63.26,5.0,12.3,12.6,17.2,120,138,0.87,125,226,0.553,73,174,0.42,2.2,1.8,34.5,1,4.65665,126.298,2.3,0.94805635,92.3885,87.3941,4.22994,216.163,8.47939,5.6772,2.80219,9.50053,32.1892,6.59953,2.901,1.2703,3.9189,5.1892,1.973,1.0,0.6757,15.9189,75.5,76.75,189.2,79.75,100.5,5.0
Jeff Withey,BUST,37,76.0,113.7,21.0,58.3,62.07,8.8,20.9,6.2,17.8,137,192,0.714,184,317,0.58,1,1,1.0,13.7,1.4,60.4,4,3.75176,119.463,2.7,0.4794222,83.0455,78.5563,4.99547,289.791,11.1432,1.73544,9.40775,10.4486,30.9189,4.19522,6.25337,2.1351,6.3784,8.5135,0.9459,0.7568,3.9459,13.7297,82.75,84.5,221.8,86.0,110.5,8.65
C.J. Wilcox,BUST,32,86.5,119.6,23.1,55.6,59.77,2.3,10.6,15.4,12.2,103,118,0.873,107,205,0.522,90,230,0.391,2.8,1.7,27.1,4,4.9257,128.704,2.7,1.49997033,108.415,104.768,2.99175,183.651,6.08701,5.60009,0.486916,7.91906,34.875,7.20242,0.716637,0.6875,3.0312,3.7188,2.5312,1.0,1.0,18.3438,75.5,77.0,201.0,81.75,100.5,6.5
Glenn Robinson III,SOLID,37,80.1,113.7,21.2,53.2,56.59,6.0,11.5,7.6,11.6,87,115,0.757,149,265,0.562,33,108,0.306,1.0,1.9,30.8,2,3.90743,122.814,1.8,0.95656378,104.582,99.1859,3.39214,186.272,5.6466,4.52562,1.12098,4.43553,32.2703,3.80246,0.633079,1.4595,2.973,4.4324,1.1892,0.9459,0.2973,13.0811,77.5,78.75,211.4,82.0,100.5,5.05
T.J. Warren,SOLID,35,84.8,113.7,33.6,54.8,57.35,10.8,12.8,8.6,12.2,156,226,0.69,311,536,0.58,31,116,0.267,1.8,3.1,34.7,2,6.29422,139.697,3.1,0.48195156,102.54,98.2359,3.80547,233.712,7.66874,7.04296,0.625785,10.6145,35.3714,9.31937,1.29514,3.2286,3.9143,7.1429,1.1429,1.8,0.6,24.8857,79.0,80.25,220.2,82.25,104.0,7.95
Markel Brown,BUST,34,86.4,118.2,22.5,54.1,59.09,3.5,12.9,16.9,11.6,149,194,0.768,135,257,0.525,55,145,0.379,3.1,1.6,48.3,4,4.74373,127.239,2.9,1.80007417,99.2219,94.435,4.22725,215.685,7.09476,4.66915,2.42562,7.84265,35.3235,5.71776,2.12489,1.0588,4.2059,5.2647,2.9118,1.0,1.0294,17.1765,74.5,75.5,184.4,80.75,100.0,4.2
Aaron Gordon,SOLID,38,77.1,105.5,23.2,51.6,50.27,10.4,19.3,13.0,12.4,76,180,0.422,173,337,0.513,16,45,0.356,3.4,1.8,47.1,1,2.9415,115.178,3.0,1.36361758,87.7492,83.3035,4.96193,242.823,8.3179,2.89022,5.42768,7.17364,31.2368,3.32065,3.85299,2.6842,5.2895,7.9737,1.9737,0.8947,1.0263,12.3684,79.5,80.75,220.1,83.75,105.0,5.05
Jabari Brown,BUST,35,91.5,119.3,24.7,55.9,62.17,1.7,11.5,12.2,15.5,212,266,0.797,123,240,0.512,80,195,0.41,0.4,1.0,61.1,3,5.67904,132.39,1.8,0.81706429,107.774,104.046,3.2567,195.725,3.99221,5.15461,-1.1624,6.16361,37.0,6.51081,-0.347208,0.4857,3.9429,4.4286,1.9143,0.6286,0.1429,19.9429,75.0,76.25,201.9,80.25,100.0,6.05
Jordan Clarkson,SOLID,35,86.8,109.7,27.3,48.1,54.58,2.9,9.3,23.3,16.8,162,195,0.831,177,354,0.5,32,114,0.281,0.6,1.9,41.7,3,4.52479,125.247,2.5,1.26882698,106.782,103.088,3.20357,194.678,3.34317,3.73257,-0.389393,3.62059,35.0857,3.71877,-0.0981812,0.8,3.0286,3.8286,3.3714,1.0857,0.1714,17.4857,75.25,77.0,186.3,80.0,98.0,4.3
Spencer Dinwiddie,SOLID,17,37.4,129.4,21.5,56.5,66.66,1.8,9.6,26.3,15.6,102,119,0.857,35,68,0.515,26,63,0.413,0.8,2.9,90.8,3,4.97557,134.102,2.4,2.13333701,100.765,96.9882,3.50461,96.5382,8.95779,7.04213,1.91566,9.1455,31.1176,5.52197,3.62353,0.4706,2.5882,3.0588,3.7647,1.5294,0.2353,14.7059,76.5,78.0,204.9,80.25,103.0,5.35
Doug McDermott,SOLID,35,84.4,124.4,32.8,60.3,64.43,6.4,17.8,11.5,9.8,178,206,0.864,234,413,0.567,96,214,0.449,0.5,0.4,32.9,4,7.47014,151.483,2.3,0.88709499,104.837,100.924,3.36736,195.464,6.63964,8.15612,-1.51648,10.1698,33.7429,11.104,-0.93424,1.6286,5.3429,6.9714,1.5714,0.2286,0.1429,26.6857,78.25,79.75,218.0,81.25,103.0,7.1
Alex Kirk,BUST,32,74.3,104.9,22.4,50.7,53.61,8.9,21.1,7.5,15.1,82,123,0.667,153,281,0.544,12,56,0.214,8.8,0.7,36.5,3,2.56909,111.159,3.2,0.61408035,94.593,91.8917,4.13587,222.519,5.0928,-0.132875,5.22568,3.74614,32.0312,1.15778,2.58835,2.2812,6.375,8.6562,1.0938,0.375,2.6562,13.25,81.25,82.75,252.0,87.5,109.5,13.6
Noah Vonleh,SOLID,30,61.8,109.1,21.5,56.0,60.43,10.8,27.3,4.9,21.8,96,134,0.716,97,183,0.53,16,33,0.485,5.4,1.9,62.0,1,2.47652,114.762,4.1,0.2812544,90.6372,86.69,3.93211,195.609,5.27582,0.682888,4.59293,6.05888,26.4667,2.72525,3.33363,2.3667,6.6,8.9667,0.6,0.8667,1.3667,11.2667,80.0,81.5,247.1,88.25,108.0,7.3
Zach LaVine,STAR,37,60.7,107.3,19.0,52.4,54.48,2.4,9.5,12.6,13.9,47,68,0.691,79,160,0.494,48,128,0.375,0.8,2.1,23.6,1,1.90023,110.248,3.2,1.57149149,103.564,98.8807,2.59395,148.504,2.74348,2.46177,0.281707,1.99942,24.4324,1.46349,0.535932,0.4865,2.0541,2.5405,1.7838,0.8919,0.1622,9.4324,76.5,77.75,180.9,80.25,100.0,4.7
Cleanthony Early,BUST,35,68.5,117.7,26.4,57.3,62.88,5.6,19.0,6.1,16.2,144,171,0.842,117,202,0.579,64,170,0.376,3.4,1.7,46.0,4,3.90102,128.731,3.5,0.373139,91.1751,89.8207,3.7884,187.934,5.69725,3.82256,1.87469,8.53712,27.4857,6.42372,2.11339,1.2857,4.7143,6.0,0.7143,0.7714,0.8,16.2857,78.0,79.25,209.4,82.75,101.5,4.45
Elfrid Payton,SOLID,32,90.2,107.4,29.5,51.6,54.07,7.2,12.0,32.3,19.4,167,283,0.59,205,384,0.534,14,54,0.259,1.5,3.6,64.6,3,4.04504,120.01,2.6,1.52068129,102.995,102.617,3.38689,234.903,6.78961,4.67287,2.11674,7.30451,36.9062,5.60237,1.70214,2.4375,3.8125,6.25,5.75,2.3438,0.5625,19.3438,74.5,75.75,185.4,80.0,98.5,5.65
Russ Smith,BUST,37,73.2,113.9,30.7,54.1,57.61,2.9,9.6,31.6,18.1,153,217,0.705,155,300,0.517,70,181,0.387,0.4,4.0,45.1,4,4.58105,132.787,3.4,1.63809996,89.1082,86.915,4.3439,214.206,9.25691,6.21134,3.04557,10.7732,29.2703,6.83149,3.94171,0.7838,2.5135,3.2973,4.6486,2.0,0.1081,18.1892,71.5,72.75,160.0,75.5,95.0,3.5
Rodney Hood,SOLID,35,81.9,119.8,22.3,55.0,59.02,2.9,11.7,13.2,12.8,109,135,0.807,120,243,0.494,71,169,0.42,0.8,1.3,32.8,2,4.83862,130.274,3.2,1.38887811,105.837,100.347,3.33286,164.685,6.3778,5.83042,0.547379,6.64208,32.8571,6.11765,0.524428,0.8286,3.1143,3.9429,2.1429,0.7143,0.2571,16.0571,79.25,80.5,208.2,80.5,103.0,7.45
Marcus Smart,SOLID,31,72.9,110.4,29.9,48.6,55.18,5.1,14.9,30.1,15.4,182,250,0.728,114,222,0.514,49,164,0.299,1.9,5.0,64.8,2,4.59939,129.023,3.6,1.80485405,91.3572,87.4668,4.69701,246.092,11.9444,7.06262,4.88179,10.9329,32.7097,5.92469,5.00823,1.4194,4.4839,5.9032,4.7742,2.871,0.5806,17.9677,74.0,75.25,227.2,81.25,99.0,10.55
Adreian Payne,BUST,31,56.7,113.5,27.1,56.5,60.66,6.8,22.9,10.2,16.1,109,138,0.79,134,250,0.536,44,104,0.423,3.8,1.0,39.0,4,4.11945,130.155,3.7,0.65078975,96.6971,91.739,3.68035,170.629,5.16282,3.50668,1.65614,6.39284,28.0645,5.0434,1.34944,1.5484,5.7097,7.2581,1.3226,0.4839,0.9032,16.4194,81.0,81.75,238.5,88.0,109.0,7.55
Jarnell Stokes,BUST,36,81.2,117.2,25.7,53.7,58.01,15.1,23.2,13.4,16.1,156,226,0.69,196,365,0.537,0,0,0.0,2.8,1.4,61.9,3,4.95666,131.64,2.5,0.92206274,95.0776,90.9367,4.3692,227.969,9.18819,5.26666,3.92153,8.73932,32.7222,6.64509,2.09423,4.1944,6.4722,10.6667,1.9722,0.6944,0.8889,15.2222,79.0,80.5,262.8,85.25,103.5,8.2
Cory Jefferson,BUST,36,72.3,114.3,23.6,51.4,54.95,11.3,20.9,7.7,12.5,128,198,0.646,159,313,0.508,14,37,0.378,4.6,0.8,56.6,4,3.79985,125.569,3.1,0.71999422,102.411,96.0337,3.37498,193.933,5.20077,3.45451,1.74626,5.28431,29.3056,4.61394,0.670373,2.7778,5.3611,8.1389,1.0,0.3611,1.2778,13.5556,79.75,81.0,218.4,84.5,105.0,5.25
Gary Harris,SOLID,35,73.7,114.4,25.3,51.8,56.08,4.0,10.2,16.8,12.7,115,142,0.81,114,225,0.507,81,230,0.352,1.6,3.4,31.2,2,4.73592,130.372,2.6,1.56664521,98.3044,92.577,4.11667,208.288,8.43181,6.41981,2.012,9.34158,32.3143,6.39277,2.94881,1.0571,2.9429,4.0,2.6857,1.8,0.4286,16.7429,74.5,76.5,204.8,78.75,96.0,4.55
Joe Harris,SOLID,37,71.8,113.4,22.1,54.7,56.48,2.7,9.8,18.1,13.4,73,114,0.64,77,158,0.487,72,180,0.4,0.9,2.2,33.7,4,3.44919,122.301,3.3,1.75001923,93.7017,89.0955,4.04406,172.192,8.39072,5.6791,2.71162,7.96411,28.8108,4.54486,3.41925,0.5946,2.3514,2.9459,2.2703,0.9459,0.2162,11.973,76.75,78.25,215.0,78.0,100.0,6.2
Sean Kilpatrick,BUST,34,84.5,119.7,28.8,51.5,57.73,3.6,11.5,18.5,13.3,180,213,0.845,121,239,0.506,93,267,0.348,0.1,2.6,42.1,4,5.82104,137.323,1.6,1.22857982,94.4619,91.7812,4.44463,188.916,6.85129,6.52197,0.329326,10.954,33.7941,8.59315,2.36083,1.0588,3.2353,4.2941,2.5294,1.4118,0.0294,20.6176,74.5,76.25,218.7,79.0,99.0,9.2
Jordan Adams,BUST,36,72.6,121.5,25.7,54.5,60.33,7.5,13.1,14.7,11.0,158,189,0.836,156,283,0.551,52,146,0.356,0.6,5.0,44.1,2,4.99943,135.62,2.9,1.55553341,95.7886,91.6561,3.96598,243.718,10.5718,7.71719,2.85457,10.6227,30.0556,7.15897,3.46376,1.8611,3.4722,5.3333,2.3333,2.6389,0.1389,17.3889,75.5,76.75,208.8,82.0,102.0,10.8
Tyler Ennis,BUST,34,88.7,114.5,22.7,45.3,51.07,2.6,9.0,32.5,13.8,114,149,0.765,118,275,0.429,30,85,0.353,0.7,3.9,41.4,1,4.3659,123.151,2.3,3.2413389,97.6955,92.6229,4.56203,202.885,6.86227,4.85439,2.00787,7.99607,35.7353,4.48187,3.5142,0.7941,2.5882,3.3824,5.5294,2.1176,0.1765,12.9412,73.0,74.5,181.5,79.25,98.0,6.2
Norman Powell,SOLID,36,85.7,104.9,24.0,49.7,53.99,1.9,13.3,12.8,15.8,127,169,0.751,175,348,0.503,38,119,0.319,1.5,3.2,36.2,4,3.70038,116.502,2.9,0.93749446,98.9771,94.5606,3.90771,244.879,5.02166,2.84666,2.17499,5.46561,34.5278,2.76967,2.69594,0.5833,4.1111,4.6944,2.0833,1.8333,0.4444,16.4167,75.0,76.25,215.4,82.75,102.5,6.4
Pat Connaughton,SOLID,38,87.4,120.4,16.7,59.7,61.46,4.2,20.4,7.6,12.2,50,64,0.781,73,136,0.537,93,220,0.423,2.7,1.3,18.0,4,4.26054,120.506,2.2,1.29544868,100.175,95.063,3.94591,241.158,7.38353,5.662,1.72153,6.90135,35.5526,5.87704,1.02432,1.0789,6.3421,7.4211,1.5,0.7105,0.9474,12.5,76.0,77.25,215.0,80.0,96.0,10.2
Bobby Portis,SOLID,36,74.2,118.9,25.7,55.2,58.23,13.6,20.2,8.8,11.5,115,156,0.737,236,436,0.541,14,30,0.467,4.8,2.1,33.5,2,4.893,132.908,2.9,0.74999998,95.8038,92.078,3.6384,235.735,7.92782,5.11539,2.81243,8.39995,29.8889,7.31961,1.08034,3.6944,5.2222,8.9167,1.1667,1.0833,1.3889,17.4722,81.5,82.5,246.2,86.0,108.5,8.9
Rakeem Christmas,BUST,31,85.1,110.1,25.5,55.3,59.21,10.1,19.3,10.5,17.3,136,191,0.712,203,366,0.555,0,1,0.0,8.4,1.6,52.0,4,4.47593,123.287,3.9,0.60255955,91.8354,86.7877,4.79852,226.749,7.72836,1.95364,5.77471,7.41479,34.3226,4.01402,3.40077,3.0968,5.9032,9.0,1.5161,0.9355,2.4839,17.4839,80.25,81.75,242.6,89.25,110.5,9.6
Jordan Mickey,BUST,31,80.1,97.3,24.7,50.5,53.25,10.5,19.6,7.6,21.7,95,147,0.646,190,370,0.514,1,9,0.111,9.7,1.5,38.8,2,2.5816,107.254,3.0,0.39602836,89.4192,87.0556,4.76676,258.992,5.04363,-0.939739,5.98337,4.26484,34.871,0.970956,3.29388,3.1935,6.7419,9.9355,1.2903,0.9355,3.6452,15.4194,79.0,80.25,238.0,87.25,106.0,7.2
Justise Winslow,SOLID,39,72.3,112.2,22.4,55.1,57.2,5.4,19.8,13.2,16.8,100,156,0.641,127,246,0.516,46,110,0.418,2.9,2.8,43.8,1,3.7048,122.324,3.8,1.15495747,92.0154,85.5702,4.19758,246.908,9.53879,4.7201,4.8187,9.03031,29.1026,4.83748,4.19282,1.2564,5.2051,6.4615,2.1026,1.3333,0.8718,12.6154,76.5,78.5,221.8,82.25,104.5,5.3
Kevon Looney,SOLID,36,76.8,113.0,20.0,50.5,53.22,12.2,21.0,9.1,11.9,92,147,0.626,129,268,0.481,22,53,0.415,3.3,2.5,45.8,1,3.64863,119.618,3.7,1.13336,96.2307,91.9367,3.78196,242.473,7.63282,4.25398,3.37884,6.31592,30.9444,4.43098,1.88494,3.3889,5.8056,9.1944,1.4167,1.2778,0.8889,11.5556,80.0,81.25,222.4,87.5,110.0,11.9
Jarell Martin,BUST,33,85.9,106.5,24.6,52.6,56.54,9.7,18.1,10.5,18.4,140,203,0.69,188,345,0.545,14,52,0.269,1.8,1.9,51.1,2,3.76806,117.024,3.2,0.64130707,93.3404,90.8088,4.3606,240.893,4.40655,2.44395,1.9626,4.03898,35.1212,2.7688,1.27018,2.9697,6.2727,9.2424,1.7879,1.1515,0.697,16.9091,80.0,81.25,238.6,81.0,106.5,10.1
Alan Williams,BUST,24,63.2,106.1,30.7,45.6,52.04,12.4,32.0,11.9,12.7,122,161,0.758,150,326,0.46,0,3,0.0,6.4,2.1,48.9,4,4.22675,122.944,3.5,0.88238592,91.4652,90.4873,4.1563,194.622,5.16442,1.29561,3.86882,6.77639,32.5769,4.97343,1.80295,3.3077,8.5385,11.8462,1.7308,1.1923,1.8077,17.2692,79.25,80.25,261.4,85.75,106.5,12.0
Myles Turner,SOLID,34,54.9,109.4,23.8,48.8,55.61,7.2,24.9,6.2,16.6,94,112,0.839,100,195,0.513,17,62,0.274,12.3,0.8,43.6,1,2.76964,121.743,4.3,0.42549187,85.3599,81.3327,3.51116,185.417,7.38281,0.519533,6.86328,8.53262,22.2059,3.08008,5.45255,1.2941,5.2353,6.5294,0.5882,0.2941,2.6176,10.1471,81.75,83.5,238.6,88.0,112.0,9.3
Frank Kaminsky,SOLID,39,81.4,126.2,28.1,59.0,62.78,6.0,25.7,18.4,11.5,156,200,0.78,225,387,0.581,42,101,0.416,4.5,1.7,41.0,4,7.35994,148.904,2.0,1.63488926,91.4999,85.5147,4.85492,266.979,13.7607,8.70054,5.06011,15.3813,33.6154,10.9093,4.47203,1.4872,6.7179,8.2051,2.641,0.8462,1.4615,18.7692,83.75,84.75,231.2,83.0,109.5,9.4
Cameron Payne,SOLID,33,81.4,118.8,31.3,52.9,56.73,2.3,10.7,39.8,14.9,126,161,0.783,149,294,0.507,82,220,0.373,1.6,3.2,31.3,2,5.55848,134.583,2.5,2.40230118,100.124,101.405,2.93831,203.057,8.30782,8.05255,0.25527,10.2868,32.1714,8.84184,1.44499,0.6,3.0857,3.6857,5.9714,1.9429,0.4857,20.2,72.75,73.5,182.8,79.25,97.5,6.3
Richaun Holmes,SOLID,30,67.1,115.8,25.1,59.3,62.31,11.5,21.0,7.2,16.5,101,142,0.711,139,237,0.586,18,43,0.419,11.3,1.5,50.7,4,3.6708,122.373,3.4,0.43332471,91.2274,91.5379,3.56104,192.802,7.98568,2.67221,5.31347,8.6819,28.7742,5.65496,3.02693,2.871,5.1613,8.0323,0.8387,0.7097,2.6452,14.8065,80.25,81.5,242.8,85.5,108.0,8.8
Terry Rozier,SOLID,36,86.9,105.9,26.8,45.7,50.86,3.8,13.9,19.7,14.1,139,176,0.79,166,364,0.456,48,157,0.306,0.5,3.5,33.8,2,4.3476,121.449,2.0,1.36711625,89.6,84.1254,5.21977,249.602,7.20163,4.04812,3.15352,8.49714,35.0,4.41439,4.08275,1.1944,4.3611,5.5556,3.0,2.0,0.1667,17.0833,72.5,74.25,190.2,80.25,98.5,5.6
Sam Dekker,SOLID,40,77.0,125.8,22.4,58.6,60.48,8.4,14.8,8.6,8.7,80,113,0.708,163,255,0.639,50,151,0.331,1.5,1.1,27.8,3,5.65648,138.358,1.4,1.36111117,98.6443,92.4654,3.73184,191.916,9.19569,8.08795,1.10774,9.45451,30.975,8.23919,1.21532,1.925,3.575,5.5,1.225,0.525,0.45,13.9,79.75,81.0,218.6,83.5,106.0,7.5
Aaron Harrison,BUST,39,63.8,112.8,21.1,47.4,51.44,1.9,9.2,11.1,10.3,79,101,0.782,87,183,0.475,59,187,0.316,0.6,2.7,27.3,2,3.10693,120.482,2.4,1.57153998,87.2436,82.6541,3.96327,172.896,7.60392,4.99095,2.61298,7.31616,25.7692,3.52324,3.79292,0.3846,2.1795,2.5641,1.4103,1.1026,0.1538,11.0256,76.5,78.0,209.2,80.25,100.5,6.0
Montrezl Harrell,SOLID,35,84.8,113.7,22.6,57.8,58.81,10.0,19.1,9.2,15.1,114,191,0.597,204,339,0.602,9,37,0.243,3.7,1.6,50.8,3,4.74093,124.59,2.4,0.7101552,89.4932,83.8085,5.27412,244.458,7.45216,3.50642,3.94574,8.58579,35.1143,5.41646,3.16934,3.1714,6.0,9.1714,1.4,0.9429,1.2,15.6857,79.0,79.5,253.4,88.25,109.0,11.9
Willie Cauley-Stein,SOLID,39,64.3,115.8,18.3,57.2,58.79,11.1,17.3,7.4,16.2,79,128,0.617,135,236,0.572,0,0,0.0,7.1,2.9,54.2,3,2.9961,118.997,3.1,0.79168017,79.0904,74.9298,4.67976,235.411,12.7451,4.42742,8.31771,11.331,25.9487,5.07159,6.25944,2.2821,4.1538,6.4359,0.9744,1.2051,1.7179,8.9487,83.25,84.5,242.4,87.0,111.0,6.3
Tyus Jones,SOLID,39,84.2,121.8,19.9,48.9,57.49,1.8,9.9,27.5,17.4,144,162,0.889,88,200,0.44,47,124,0.379,0.2,2.7,50.0,1,5.06662,128.753,1.4,2.8552881,98.3377,91.4497,4.202,223.713,8.58766,6.36463,2.22302,8.39666,33.8974,5.61301,2.78366,0.4872,3.0256,3.5128,5.5641,1.5128,0.0769,11.8205,72.5,74.0,184.6,77.0,97.0,6.5
Rashad Vaughn,BUST,23,57.3,101.4,28.8,52.1,54.73,2.3,13.9,12.2,14.4,68,98,0.694,90,187,0.481,54,141,0.383,1.1,1.5,29.9,1,3.37158,116.012,2.9,0.71999634,100.566,98.7494,3.15614,122.977,0.927228,2.60346,-1.67623,4.09223,32.2609,4.5805,-0.488272,0.6087,4.2174,4.8261,1.5652,0.7826,0.3478,17.8261,75.75,77.0,198.6,79.0,101.0,6.2
Chris McCullough,BUST,16,36.0,92.5,21.1,48.2,50.78,9.0,18.5,8.2,22.2,40,71,0.563,53,112,0.473,1,1,1.0,8.5,3.6,62.8,1,1.05663,96.314,3.6,0.51428571,87.8528,86.8556,3.92646,109.276,5.9099,-1.68994,7.59984,4.68636,28.125,-0.230209,4.91657,2.25,4.625,6.875,1.125,1.6875,2.0625,9.3125,80.25,81.0,199.0,87.25,109.0,6.2
Justin Anderson,SOLID,26,52.8,120.5,22.0,57.2,60.97,3.1,14.5,14.0,13.2,64,82,0.78,56,117,0.479,47,104,0.452,2.5,1.6,37.1,3,4.20367,129.325,1.7,1.45164815,88.5752,84.0094,4.15299,121.798,9.76844,5.49031,4.27813,11.5827,27.8462,7.23767,4.34501,0.6538,3.3846,4.0385,1.7308,0.6538,0.5385,12.1923,77.25,78.25,230.6,83.75,101.0,5.0
Devin Booker,STAR,38,51.9,121.0,20.5,57.1,60.02,2.6,7.8,10.9,13.8,53,64,0.828,77,146,0.527,58,141,0.411,0.3,1.3,22.3,1,3.19131,128.601,2.8,1.13515453,91.0701,86.245,3.04056,117.322,6.83479,5.679,1.15579,8.23184,21.5,5.91621,2.31563,0.4474,1.5526,2.0,1.1053,0.4474,0.0526,10.0263,76.5,77.75,205.8,80.25,102.5,8.3
Cliff Alexander,BUST,28,34.1,113.9,20.4,56.6,59.75,13.2,19.9,5.4,16.6,53,79,0.671,73,129,0.566,0,0,0.0,7.6,0.6,61.2,1,2.29721,123.002,4.6,0.42860001,93.9742,87.9528,2.41026,101.776,6.67485,2.40376,4.27109,5.77612,17.6071,3.0262,2.74992,1.9643,3.3214,5.2857,0.4286,0.1786,1.3214,7.1071,79.25,80.5,239.2,87.5,109.5,5.8
Delon Wright,SOLID,34,83.7,125.2,24.2,54.5,61.66,4.1,13.6,32.8,15.4,152,182,0.835,135,246,0.549,26,73,0.356,3.2,3.9,57.1,4,6.04319,137.443,1.7,2.61758206,87.5652,83.3382,5.1177,237.663,14.4311,7.9039,6.52721,14.7263,33.2857,8.27648,6.44984,0.9714,3.9714,4.9429,5.0857,2.0857,0.9714,14.5429,76.25,77.5,181.4,79.5,101.5,6.6
Christian Wood,SOLID,32,81.5,105.3,26.5,52.5,56.56,10.4,22.7,8.5,17.2,114,156,0.731,155,279,0.556,25,88,0.284,8.0,0.6,42.5,2,3.64108,117.603,3.2,0.5443001,94.0666,93.1696,3.87095,225.504,4.05841,1.43628,2.62213,4.3575,32.6667,3.39767,0.95983,2.8485,7.1212,9.9697,1.303,0.3333,2.7273,15.7273,81.25,82.5,216.0,87.25,111.5,14.7
Thomas Bryant,SOLID,34,68.6,112.0,22.3,56.0,60.09,9.7,17.2,9.8,20.9,108,148,0.73,125,225,0.556,23,60,0.383,5.7,1.6,51.9,2,3.15081,120.008,4.4,0.64103569,100.983,96.036,3.1339,191.596,5.95093,2.8386,3.11232,5.3531,28.0588,3.33555,2.01755,2.2353,4.4118,6.6471,1.4706,0.7647,1.5294,12.5588,81.5,82.75,247.8,90.0,112.5,9.4
