display_first_last,classification,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,ast/tov,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,height_wo_shoes,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct
Damian Lillard,STAR,30,87.2,122.3,32.3,54.5,62.11,1.9,14.1,28.0,12.0,215,243,0.885,129,256,0.504,86,217,0.396,0.7,2.5,51.4,3,6.50902,138.152,2.3,1.78260869,101.836,103.535,2.75997,200.205,8.16164,8.79872,-0.637082,9.76622,35.3,9.05933,0.706884,0.5333,4.2667,4.8,4.1,1.5,0.2333,24.3667,73.75,74.75,188.8,79.75,95.5,5.9
Kendall Marshall,BUST,36,77.9,113.3,17.1,52.9,55.8,0.5,7.3,45.1,27.2,55,79,0.696,77,146,0.527,28,79,0.354,0.5,2.0,35.1,2,3.24086,112.651,1.9,3.47519256,96.8536,92.3192,3.89671,205.986,4.08958,4.03505,0.0545312,5.85357,33.0,3.6269,2.22666,0.1667,2.4444,2.6111,9.75,1.1944,0.1667,8.1389,75.25,76.25,198.4,77.5,96.0,7.8
Bradley Beal,STAR,37,84.7,112.3,22.4,52.5,57.45,4.8,18.1,12.7,17.0,133,173,0.769,112,207,0.541,63,186,0.339,2.6,2.5,44.0,1,4.50413,122.639,2.4,1.05063003,95.4954,92.1814,4.01915,257.355,8.02626,5.01541,3.01084,7.56367,34.2432,5.27745,2.28623,1.3514,5.3784,6.7297,2.2432,1.3784,0.8378,14.7568,75.25,76.75,201.8,80.0,100.0,6.0
Royce White,BUST,34,78.8,100.3,29.1,54.0,53.6,9.4,24.6,34.5,24.7,102,205,0.498,171,316,0.541,4,12,0.333,3.0,2.2,62.5,2,3.45484,115.927,3.3,1.30770239,94.0933,89.68,4.0118,241.839,8.20572,2.66936,5.53635,7.36439,31.5294,3.78105,3.58334,2.5,6.7941,9.2941,5.0,1.1765,0.9412,13.4118,79.0,80.0,260.6,84.0,104.5,10.6
Darius Miller,SOLID,40,65.2,117.9,18.6,56.6,59.29,4.3,7.3,14.3,17.8,55,69,0.797,87,153,0.569,56,149,0.376,1.2,1.9,22.8,4,3.36832,121.576,3.3,1.41379302,96.5786,91.8848,3.11829,159.011,7.40894,6.30998,1.09896,6.83073,26.075,4.49389,2.33683,0.9,1.85,2.75,2.05,0.825,0.325,9.925,78.0,79.5,233.4,81.0,101.0,7.5
Ray McCallum,BUST,31,93.2,116.4,24.4,52.4,56.57,4.0,13.3,23.5,12.8,138,193,0.715,158,290,0.545,39,123,0.317,1.7,3.0,46.7,3,5.39079,125.565,2.2,2.19042468,101.748,101.013,3.22081,222.896,6.27909,5.70333,0.575761,7.06943,37.2903,6.07031,0.999121,1.3226,3.8387,5.1613,4.4516,1.9677,0.5806,18.4194,72.25,73.75,191.4,75.25,96.5,7.3
Peyton Siva,BUST,40,76.7,105.0,21.1,45.9,51.34,1.1,7.6,34.3,24.0,85,98,0.867,101,212,0.476,38,132,0.288,0.6,4.3,28.5,4,3.12814,113.272,3.3,2.15094325,87.954,83.2111,4.54732,239.991,6.18906,3.46654,2.72252,6.25131,31.175,2.20725,4.04406,0.3,2.05,2.35,5.7,2.25,0.15,10.025,71.5,73.0,180.6,75.0,93.0,6.05
Jamaal Franklin,BUST,32,82.6,101.4,29.8,45.6,53.41,5.6,26.3,21.7,20.7,173,219,0.79,118,247,0.478,41,147,0.279,2.3,3.0,55.6,3,3.94297,118.276,3.2,0.96330221,85.7859,82.2666,5.00574,256.866,8.17522,3.08264,5.09257,8.01001,33.1875,4.03909,3.97092,1.5938,7.7812,9.375,3.2812,1.625,0.7188,16.625,76.0,77.25,190.8,83.25,103.5,8.25
Ryan Kelly,BUST,23,46.1,121.1,20.8,53.5,58.64,6.9,14.3,11.0,9.7,69,85,0.812,61,129,0.473,35,83,0.422,5.4,1.4,40.1,4,4.53064,129.13,3.3,1.65219998,94.8199,88.6349,3.7335,129.644,10.0914,6.13751,3.95393,9.95268,28.8696,6.64774,3.30494,1.6087,3.6957,5.3043,1.6522,0.6957,1.6087,12.8696,81.75,83.75,228.0,83.5,110.0,14.75
Michael Carter-Williams,SOLID,40,87.5,102.6,24.4,43.8,49.13,4.0,11.1,40.2,24.1,129,186,0.694,120,274,0.438,35,120,0.292,1.7,4.8,47.2,2,3.78583,115.092,2.6,2.14705882,86.8313,82.318,5.29067,299.662,9.12808,4.84479,4.28329,8.82116,35.2,3.95766,4.86349,1.275,3.6,4.875,7.3,2.775,0.475,11.85,76.75,77.75,184.4,79.25,101.0,4.4
Tony Mitchell,BUST,30,80.9,98.2,22.9,48.2,52.27,8.5,20.4,5.2,19.7,97,145,0.669,107,212,0.505,28,97,0.289,8.4,1.8,46.9,2,1.91288,100.938,3.6,0.29331999,95.1947,97.5923,3.17928,223.734,2.46772,-0.43196,2.89968,2.53077,32.7667,1.20283,1.32794,2.4667,6.0333,8.5,0.7333,1.0,2.7333,13.1667,77.25,78.25,216.4,82.0,100.0,5.7
Tony Mitchell,BUST,30,80.9,98.2,22.9,48.2,52.27,8.5,20.4,5.2,19.7,97,145,0.669,107,212,0.505,28,97,0.289,8.4,1.8,46.9,2,1.91288,100.938,3.6,0.29331999,95.1947,97.5923,3.17928,223.734,2.46772,-0.43196,2.89968,2.53077,32.7667,1.20283,1.32794,2.4667,6.0333,8.5,0.7333,1.0,2.7333,13.1667,79.5,80.75,236.4,86.5,106.5,5.55
Tony Mitchell,BUST,30,80.9,98.2,22.9,48.2,52.27,8.5,20.4,5.2,19.7,97,145,0.669,107,212,0.505,28,97,0.289,8.4,1.8,46.9,2,1.91288,100.938,3.6,0.29331999,95.1947,97.5923,3.17928,223.734,2.46772,-0.43196,2.89968,2.53077,32.7667,1.20283,1.32794,2.4667,6.0333,8.5,0.7333,1.0,2.7333,13.1667,77.25,78.25,216.4,82.0,100.0,5.7
Tony Mitchell,BUST,30,80.9,98.2,22.9,48.2,52.27,8.5,20.4,5.2,19.7,97,145,0.669,107,212,0.505,28,97,0.289,8.4,1.8,46.9,2,1.91288,100.938,3.6,0.29331999,95.1947,97.5923,3.17928,223.734,2.46772,-0.43196,2.89968,2.53077,32.7667,1.20283,1.32794,2.4667,6.0333,8.5,0.7333,1.0,2.7333,13.1667,79.5,80.75,236.4,86.5,106.5,5.55
Tony Snell,SOLID,35,77.5,105.0,22.0,51.6,56.23,1.6,8.1,22.4,18.5,86,102,0.843,80,177,0.452,64,164,0.39,1.9,1.6,29.9,3,3.09291,112.65,1.7,1.40280001,97.3769,93.548,3.48131,174.245,4.17125,2.93837,1.23289,5.51475,31.2286,3.9188,1.59595,0.4,2.2286,2.6286,2.8857,0.8286,0.4857,12.5143,78.0,79.25,198.2,83.5,105.5,4.85
James Southerland,BUST,34,62.3,119.9,19.2,56.7,58.56,4.8,14.3,7.7,12.6,45,57,0.789,77,147,0.524,84,211,0.398,3.6,3.1,15.9,4,4.18239,124.912,3.2,0.89995751,88.0208,83.8822,4.28578,204.633,9.79379,6.00754,3.78624,10.7475,29.5,6.82119,3.92629,1.2647,3.9118,5.1765,1.0588,1.4706,0.8529,13.2647,79.0,80.0,220.6,85.0,106.0,8.05
Tim Hardaway Jr.,SOLID,37,84.2,104.9,22.3,50.4,52.71,0.8,14.5,12.9,15.0,73,105,0.695,125,260,0.481,68,190,0.358,1.4,1.2,23.3,3,3.76564,115.272,2.2,1.30430586,99.6,93.4428,3.8968,214.122,4.53743,3.20031,1.33712,4.30914,34.9459,3.15549,1.15365,0.2162,4.2973,4.5135,2.4324,0.6757,0.4595,14.2432,76.5,78.25,199.4,79.0,101.0,6.05
Solomon Hill,SOLID,35,82.1,113.7,21.4,54.1,57.94,6.6,12.8,16.8,18.7,95,124,0.766,101,199,0.508,57,146,0.39,1.8,2.1,35.9,4,4.28294,121.472,2.6,1.23377266,95.9089,91.6638,3.90349,209.657,8.28038,5.49305,2.78733,7.56824,32.9714,5.44116,2.12707,1.7429,3.6,5.3429,2.7143,1.1429,0.5714,13.3714,77.5,79.0,226.0,81.0,103.0,7.6
Isaiah Canaan,SOLID,29,91.2,112.4,30.7,52.4,57.63,1.7,9.1,27.7,17.3,149,181,0.823,114,233,0.489,91,245,0.371,0.4,2.6,37.9,4,5.17278,124.774,2.1,1.29169554,101.604,101.912,3.0365,182.92,3.55847,5.21358,-1.65511,5.66985,37.1034,5.91546,-0.245615,0.5172,2.931,3.4483,4.2759,1.5862,0.1379,22.4138,71.0,72.0,188.4,76.5,94.5,5.9
Reggie Bullock,SOLID,34,76.5,126.5,18.2,59.8,61.7,6.6,15.8,16.2,12.3,56,73,0.767,80,149,0.537,85,198,0.429,0.9,2.2,21.0,3,4.94588,129.15,1.9,2.20929859,96.5996,92.1141,3.69359,214.266,10.8455,7.95074,2.89476,10.4947,31.6176,8.0144,2.48029,2.0294,4.5294,6.5588,2.7941,1.2353,0.2941,13.8529,77.75,79.0,199.8,80.75,102.0,6.95
Trey Burke,SOLID,38,87.6,121.4,28.9,52.9,56.85,1.8,8.9,37.4,13.1,132,164,0.805,176,350,0.503,74,193,0.383,1.6,2.8,30.2,2,7.31804,144.075,2.1,3.11109036,98.2568,92.27,4.09053,235.865,11.2633,9.55955,1.70372,12.2776,35.3947,9.22369,3.05393,0.5263,2.6842,3.2105,6.6316,1.6053,0.5263,18.5789,71.75,73.25,187.0,77.5,97.5,6.9
Mike Muscala,SOLID,33,80.2,116.8,31.7,51.0,57.21,12.0,29.0,18.6,10.9,175,222,0.788,218,423,0.515,4,16,0.25,7.7,1.0,50.6,4,5.47971,133.113,2.7,1.35083659,83.836,83.7836,4.69031,257.626,10.9448,4.83395,6.11084,12.513,32.0909,8.51832,3.9947,2.9697,8.3333,11.303,2.3333,0.5152,2.3333,18.8788,82.25,83.5,230.2,85.0,108.0,6.8
Erik Murphy,BUST,36,64.3,123.1,21.3,62.9,64.29,7.8,17.4,11.0,15.9,40,51,0.784,92,159,0.579,72,159,0.453,3.1,1.5,16.0,4,4.32506,131.037,4.2,0.98037696,85.8213,82.5922,3.97437,184.686,10.1709,6.12733,4.0436,10.5449,26.4444,6.84633,3.69861,1.6111,3.9167,5.5278,1.3889,0.6389,0.6944,12.2222,80.75,81.5,239.8,82.5,108.0,7.95
Seth Curry,SOLID,35,78.5,121.7,22.6,57.7,61.67,2.2,6.8,9.7,9.6,123,152,0.809,102,207,0.493,95,217,0.438,0.5,1.6,35.8,4,5.45423,132.589,2.1,1.28574992,100.47,93.7792,3.59896,169.66,7.17772,7.17979,-0.00207077,8.69777,32.2857,7.68263,1.01513,0.5714,1.9714,2.5429,1.5429,0.8571,0.1714,17.4857,73.0,75.0,179.2,76.0,97.5,9.6
Dewayne Dedmon,SOLID,31,53.2,96.5,19.0,50.0,52.44,11.7,24.2,5.8,22.2,32,47,0.681,88,173,0.509,0,3,0.0,10.0,2.9,26.7,3,1.25908,100.445,5.4,0.38776415,88.5165,84.1827,3.1758,183.119,7.28103,-0.624662,7.90569,4.85438,22.2903,-0.0909662,4.94535,2.2581,4.7097,6.9677,0.6129,1.0968,2.129,6.7097,82.0,83.5,238.8,88.0,109.0,8.35
Robert Covington,SOLID,21,52.5,104.9,26.4,47.9,53.79,10.0,18.2,10.0,18.2,80,96,0.833,75,171,0.439,34,92,0.37,6.2,4.0,36.5,4,3.12846,113.109,3.8,0.51851133,95.433,94.2869,3.38683,158.872,5.34517,2.18947,3.15571,6.11365,31.2381,4.1736,1.94005,2.619,4.9048,7.5238,1.3333,2.1429,1.7619,15.8095,78.25,79.5,208.6,85.75,106.0,4.7
